label,rsi,macd,cci,is_above_sma50,is_above_ema50,is_above_sma100,is_above_ema100,volume,volatility,momentum,oversold,overbought,rsi_macd,close_mean_window,close_std_window,rsi_mean_window,rsi_std_window
1,54.73,-1.06,155.73,1,1,0,0,12165900.0,0.02,1.1009980000000041,0,0,-57.96,245.97,19.36,55.96,11.76
1,59.87,-0.43,171.64,1,1,0,0,19912100.0,0.02,3.401001000000008,0,0,-25.97,246.76,19.99,56.14,11.76
1,73.69,1.18,269.98,1,1,1,1,41612000.0,0.02,14.130005000000011,0,1,87.22,247.44,20.34,56.25,11.72
1,70.69,2.31,223.06,1,1,1,1,43858400.0,0.02,-1.5390010000000132,0,1,163.21,248.14,20.69,56.36,11.7
1,70.16,3.14,144.91,1,1,1,1,30980200.0,0.02,-0.4209900000000175,0,1,220.45,248.83,20.88,56.48,11.62
1,62.19,3.41,100.68,1,1,1,1,23965300.0,0.02,-4.436996000000022,0,0,211.96,249.51,21.0,56.61,11.53
1,62.82,3.63,65.61,1,1,1,1,20608100.0,0.02,0.6820069999999987,0,0,227.77,250.25,21.23,56.75,11.47
1,60.56,3.65,52.82,1,1,1,1,10600900.0,0.02,-1.1560060000000192,0,0,221.29,250.91,21.39,56.83,11.44
1,63.92,3.88,63.93,1,1,1,1,17692500.0,0.02,3.0210109999999872,0,0,247.84,251.52,21.61,56.82,11.44
1,59.12,3.79,45.17,1,1,1,1,15108700.0,0.02,-2.6309969999999794,0,0,224.28,252.13,21.77,56.83,11.43
1,53.11,3.38,9.04,1,1,1,1,17344900.0,0.02,-3.7669989999999984,0,0,179.64,252.9,22.2,56.92,11.45
1,56.02,3.2,4.23,1,1,1,1,16133100.0,0.02,2.433990999999992,0,0,179.51,253.75,22.57,57.1,11.43
1,57.02,3.09,3.43,1,1,1,1,13983500.0,0.02,0.9899900000000059,0,0,176.3,254.66,23.01,57.32,11.42
1,65.0,3.56,88.38,1,1,1,1,20488600.0,0.02,7.441009000000008,0,0,231.29,255.58,23.42,57.55,11.42
1,61.7,3.73,94.76,1,1,1,1,15137600.0,0.02,-1.9440000000000168,0,0,229.86,256.52,23.82,57.78,11.42
1,68.67,4.46,190.31,1,1,1,1,34742900.0,0.02,8.343001999999984,0,0,306.02,257.38,24.06,57.93,11.38
1,72.67,5.46,243.48,1,1,1,1,44533800.0,0.02,6.035980000000052,0,1,396.58,258.27,24.16,58.14,11.25
1,65.95,5.82,163.02,1,1,1,1,27029800.0,0.02,-4.723999000000049,0,0,384.15,259.16,24.11,58.38,11.02
1,61.54,5.79,99.57,1,1,1,1,21551900.0,0.02,-3.1399990000000173,0,0,356.29,260.12,23.81,58.69,10.54
1,62.32,5.77,68.96,1,1,1,1,19033800.0,0.02,0.8769990000000121,0,0,359.61,261.06,23.55,58.93,10.22
1,65.99,6.05,86.67,1,1,1,1,15620400.0,0.02,4.39498900000001,0,0,399.37,261.96,23.24,59.15,9.9
1,72.88,7.08,149.22,1,1,1,1,44156100.0,0.02,11.108001000000002,0,1,516.24,262.96,22.9,59.45,9.46
1,68.95,7.58,146.49,1,1,1,1,49154800.0,0.03,-2.078003000000024,0,0,522.69,263.89,22.48,59.68,9.08
1,65.23,7.66,99.16,1,1,1,1,28857600.0,0.03,-3.7560119999999984,0,0,499.65,264.76,22.0,59.83,8.8
1,68.22,8.0,101.43,1,1,1,1,36980200.0,0.03,4.803009000000031,0,0,545.67,265.69,21.39,60.05,8.33
0,66.14,8.05,91.01,1,1,1,1,40301200.0,0.03,-1.598998999999992,0,0,532.35,266.23,20.84,59.87,8.76
0,74.55,9.25,175.14,1,1,1,1,100390000.0,0.03,15.738005999999984,0,1,689.35,266.82,20.27,59.75,9.0
0,77.69,10.73,197.84,1,1,1,1,41109900.0,0.03,8.234984999999995,0,1,833.97,267.4,19.66,59.62,9.25
0,82.65,13.19,231.12,1,1,1,1,56405000.0,0.03,17.726989000000003,0,1,1090.62,268.07,19.04,59.56,9.33
0,65.91,13.47,121.62,1,1,1,1,62053900.0,0.04,-18.77301,0,0,887.88,268.66,18.39,59.45,9.51
0,62.58,13.17,78.5,1,1,1,1,28727200.0,0.04,-4.570007999999973,0,0,824.03,269.18,17.79,59.24,9.8
0,61.39,12.65,57.64,1,1,1,1,27486600.0,0.04,-2.2160030000000006,0,0,776.56,269.71,17.18,59.03,10.04
0,55.96,11.48,17.47,1,1,1,1,49482600.0,0.04,-7.953002999999967,0,0,642.58,270.12,16.67,58.68,10.37
0,56.7,10.55,-15.43,1,1,1,1,27591400.0,0.04,1.3809820000000173,0,0,598.01,270.24,16.56,58.06,10.57
0,53.51,9.33,-27.31,1,1,1,1,25187100.0,0.04,-4.429992999999968,0,0,499.26,270.38,16.41,57.5,10.81
0,52.62,8.17,-54.84,1,1,1,1,15332500.0,0.04,-1.1529840000000036,0,0,429.71,269.76,17.88,56.64,11.8
0,55.93,7.59,-37.09,1,1,1,1,22711400.0,0.04,5.48199500000004,0,0,424.56,269.47,18.44,56.13,12.24
0,53.56,6.8,-43.08,1,1,1,1,22930700.0,0.03,-3.0489809999999693,0,0,364.34,269.31,18.7,55.69,12.47
0,54.48,6.22,-56.6,1,1,1,1,19389800.0,0.03,1.5649720000000116,0,0,338.7,269.12,19.01,55.28,12.72
0,53.52,5.59,-62.01,1,1,1,1,18531300.0,0.03,-1.2919919999999934,0,0,299.41,268.85,19.45,54.79,12.94
0,61.19,6.02,4.89,1,1,1,1,37199400.0,0.03,12.27301,0,0,368.29,268.58,19.89,54.37,13.21
0,61.43,6.32,46.01,1,1,1,1,20662200.0,0.03,0.5329900000000407,0,0,387.95,268.09,20.94,53.96,13.64
0,63.68,6.79,96.37,1,1,1,1,16032300.0,0.03,4.0459900000000175,0,0,432.69,267.74,21.54,53.62,13.85
0,64.21,7.17,120.44,1,1,1,1,30592000.0,0.03,0.9849849999999947,0,0,460.21,267.45,21.98,53.31,13.98
0,64.69,7.44,129.39,1,1,1,1,25453600.0,0.03,0.7940060000000244,0,0,481.36,267.02,22.56,52.86,14.04
0,59.56,7.19,83.19,1,1,1,1,24672600.0,0.03,-4.8940130000000295,0,0,427.98,266.73,22.9,52.54,14.06
0,57.66,6.75,47.32,1,1,1,1,21635800.0,0.03,-1.3810119999999984,0,0,389.46,266.29,23.36,52.08,13.97
0,54.58,6.09,14.8,1,1,1,1,23629100.0,0.03,-3.0460199999999986,0,0,332.61,265.72,23.84,51.56,13.79
0,51.62,5.26,-29.19,1,1,1,1,18995000.0,0.03,-3.0849919999999997,0,0,271.79,265.26,24.26,51.16,13.72
0,52.54,4.64,-43.92,1,1,1,1,17722200.0,0.03,2.1650089999999977,0,0,243.56,264.81,24.69,50.82,13.71
0,51.11,3.98,-35.92,1,1,1,1,21474100.0,0.03,-1.5790099999999825,0,0,203.38,264.36,25.09,50.48,13.68
0,54.92,3.74,-21.57,1,1,1,1,21908700.0,0.02,3.992980999999986,0,0,205.26,263.81,25.53,50.06,13.59
0,51.32,3.24,-47.68,1,1,1,1,20128000.0,0.02,-2.964996000000042,0,0,166.28,263.13,25.87,49.57,13.29
0,47.97,2.55,-106.9,1,1,1,1,18792100.0,0.02,-3.3290099999999825,0,0,122.3,262.57,26.1,49.21,13.05
0,49.06,2.06,-105.68,1,1,1,1,42484800.0,0.02,0.8439940000000092,0,0,101.06,262.14,26.26,48.97,12.88
0,34.63,0.17,-214.69,0,0,1,0,58533000.0,0.03,-18.744995000000017,0,0,5.88,261.63,26.39,48.69,12.64
0,38.88,-0.99,-201.48,0,0,1,1,23789600.0,0.03,3.9670110000000136,0,0,-38.38,261.21,26.47,48.49,12.46
0,38.48,-1.93,-154.23,0,0,1,1,20979400.0,0.03,-1.0079959999999915,0,0,-74.3,260.45,26.45,48.07,11.99
0,44.49,-2.18,-96.06,0,0,1,1,25433900.0,0.03,6.0439759999999865,0,0,-96.82,259.55,26.25,47.61,11.35
0,41.53,-2.66,-83.27,0,0,1,1,26815400.0,0.03,-4.221984999999961,0,0,-110.62,258.39,25.5,47.09,10.41
0,39.89,-3.2,-91.99,0,0,1,1,27685500.0,0.03,-2.1030269999999973,0,0,-127.6,257.46,25.28,46.77,10.11
0,41.62,-3.45,-75.25,0,0,1,1,27091200.0,0.02,1.5480040000000486,0,0,-143.73,256.53,25.21,46.44,9.91
0,38.54,-3.94,-78.58,0,0,1,0,19321100.0,0.02,-3.977997000000016,0,0,-151.97,255.62,25.13,46.14,9.73
0,36.4,-4.52,-99.86,0,0,1,0,29717000.0,0.02,-3.359008000000017,0,0,-164.72,254.84,25.16,45.92,9.66
0,36.03,-4.97,-100.86,0,0,1,0,21617900.0,0.02,-0.5139769999999544,0,0,-179.11,254.01,25.17,45.67,9.57
1,18.19,-9.01,-329.43,0,0,0,0,42147200.0,0.04,-46.84700000000001,1,0,-163.84,253.27,25.21,45.49,9.52
1,30.52,-10.82,-211.36,0,0,0,0,60869200.0,0.05,1.0130010000000027,0,0,-330.17,252.61,25.2,45.39,9.48
0,36.26,-11.42,-135.82,0,0,0,0,32275000.0,0.04,8.451004000000012,0,0,-414.28,251.83,25.1,45.21,9.38
0,35.25,-11.99,-102.27,0,0,0,0,23173800.0,0.04,-2.7859960000000115,0,0,-422.75,251.1,25.04,45.06,9.31
0,34.45,-12.47,-97.71,0,0,0,0,23205900.0,0.04,-2.2720040000000097,0,0,-429.63,250.28,24.99,44.83,9.25
1,33.6,-12.88,-82.96,0,0,0,0,18406600.0,0.04,-2.207000999999991,0,0,-432.94,249.53,24.89,44.69,9.18
1,27.77,-14.47,-110.8,0,0,0,0,59220700.0,0.05,-17.617005000000006,1,0,-401.8,248.58,24.49,44.42,8.93
1,35.37,-14.66,-98.64,0,0,0,0,61089200.0,0.05,11.541000999999994,0,0,-518.52,247.69,23.98,44.24,8.69
